FL,Independent,Somewhat liberal,Atheist,Almost every time,Very concerned
IN,Independent,Somewhat conservative,Protestant,Don't know,Not at all concerned
FL,Independent,Moderate,Mormon (Church of Jesus Christ of Latter-Day Saints/LDS),Never,Not at all concerned
SC,Independent,Moderate,Protestant,Every time,Very concerned
MD,Independent,Somewhat liberal,"Catholic, Roman Catholic",Not applicable/Does not have vaginal intercourse/sex,Not applicable/don't believe in birth control
GA,Independent,Moderate,"Catholic, Roman Catholic",Never,Not at all concerned
MN,Independent,Moderate,Nothing in particular,Almost every time,Not very concerned
IL,Independent,Moderate,Non-denominational or Independent Church,Every time,Very concerned
LA,Independent,Somewhat conservative,Nothing in particular,Never,Not at all concerned
TX,Democrat,Very liberal,Agnostic,About half the time,Very concerned
MO,Independent,Moderate,"Catholic, Roman Catholic",Never,Not at all concerned
KS,Democrat,Somewhat liberal,Christian (Just Christian),Almost every time,Very concerned
TX,Republican,Somewhat conservative,Jewish/Judaism,Every time,Not at all concerned
TX,Democrat,Moderate,"Catholic, Roman Catholic",Every time,Somewhat concerned
IA,Independent,Moderate,Atheist,Never,Not at all concerned
